raw_text,cleaned_text,domain,sentiment,intensity,intensity_level
没有纸巾就算了，连番茄酱也没有，如果速度快换来的是仓促，那我宁可多等几分钟,没有纸巾就算了 连番茄酱也没有 如果速度快换来的是仓促 那我宁可多等几分钟,WAIMAI,0,1.2,1
[泪]住不起 //@后海WE咖啡:@把每一天都活成似火年华 //@阿耐ane:广而告之,泪 住不起,WEIBO,0,2.6,3
我付款之后窃喜的瞬间隔壁短信响起的感觉~你懂吗？//@没事就爱吧吧嘴儿: 回复@奥利奥Oh-My:哈哈 那是得管你[哈哈] //@奥利奥Oh-My:因为我是一个刷信用卡败家的鞋控。 //@没事就爱吧吧嘴儿:为什么不让你买鞋？你偷偷给他买的礼物？,我付款之后窃喜的瞬间隔壁短信响起的感觉 你懂吗 回复 那是得管你 哈哈,WEIBO,1,0.5,0
原来如此//@水们Waters: //@北京-老鱼-拉萨: 转发~//@Everest8847: 广而告之//@周凯莉:Nanzhou官微发布不实声明的前因后果~ //@何刚:真相被扭曲=谎言[怒],原来如此 转发 广而告之,WEIBO,0,4.2,4
我没有收到货呀！！！！！！！打电话叶没有人接听！！从来没有遇到过这样的事情！！！！想咨询下邮局货物发货单号也查不到！怎么回事？还全球最大的购书网，不可信任！！,我没有收到货呀 打电话叶没有人接听 从来没有遇到过这样的事情 想咨询下邮局货物发货单号也查不到 怎么回事 还全球最大的购书网 不可信任,ChnSentiCorp,0,4.3,1
"这么一比，Bimba的不算啥啊！ //@三个三个:受不了这个苦的属于15%的人飘过 //@端木妙子:Q:""Are u sleep only 5 hours everyday?"" A:"" well, if u are lucky....."" [衰][衰] 真的会死人的...",这么一比 Bimba的不算啥啊 u sleep only 5 hours everyday A well if u are lucky 衰 衰 真的会死人的,WEIBO,0,2.0,2
不能加图...差评！反正红茶上已完全无奶盖，逗我？,不能加图 差评 反正红茶上已完全无奶盖 逗我,WAIMAI,0,0.0,0
量好小啊。,量好小啊,WAIMAI,0,3.0,3
#为什么大家都买这一瓶？#到底是哪一瓶呢？难道是这一瓶？！三个提示：1、一件产品两个颜色2、宫廷御用古方3、线上线下秒杀万件的明星单品 即日起，关注@家化E起来 ，转发此条微博并写出答案，另@三位好友，就有机会获佰草集太极随身套装！只有20个名额哦！赶快来参加吧[抱抱] ~http://t.cn/aYQxLw,到底是哪一瓶呢 难道是这一瓶 三个提示 1 一件产品两个颜色2 宫廷御用古方3 线上线下秒杀万件的明星单品 即日起 关注 转发此条微博并写出答案 另,WEIBO,1,5.0,5
今天不是特别忙，于是午休时间打开淘宝瞎逛，看啊看啊不知不觉就消费了5、600块钱。。。[晕]这是肿么了。。。,今天不是特别忙 于是午休时间打开淘宝瞎逛 看啊看啊不知不觉就消费了5 600块钱 晕 这是肿么了,WEIBO,0,5.0,5
送货的小哥服务超好的,送货的小哥服务超好的,WAIMAI,1,3.9,1
属于政府招待所，酒店设施非常一般，服务态度也不太令人满意，房间的床上用品不干净，枕套居然是有大面积油渍的，换了一个居然还是一样，床单下有很多头发，被罩上还有零星的血渍，早餐质量太差，天天一样，令人没有食欲，18元的早餐也就是喝碗粥，吃个鸡蛋。希望邯郸地区的酒店能够尽量提高质量和服务水平,属于政府招待所 酒店设施非常一般 服务态度也不太令人满意 房间的床上用品不干净 枕套居然是有大面积油渍的 换了一个居然还是一样 床单下有很多头发 被罩上还有零星的血渍 早餐质量太差 天天一样 令人没有食欲 18元的早餐也就是喝碗粥 吃个鸡蛋 希望邯郸地区的酒店能够尽量提高质量和服务水平,ChnSentiCorp,0,0.6,1
爷说今天＂正经事＂多，早饭赶紧在酒店解决了![泪][泪][泪]我的小馄饨，我的蒸饭团，我的煎饼包油条...,爷说今天 正经事 多 早饭赶紧在酒店解决了 泪 泪 泪 我的小馄饨 我的蒸饭团 我的煎饼包油条,WEIBO,0,3.2,3
送到了已经凉了...,送到了已经凉了,WAIMAI,0,0.8,1
晚上一定要补上[哈哈]//@三摩地帮主:我吃的馒头[泪],晚上一定要补上 哈哈,WEIBO,0,2.3,2
还可以哦，下次会再来的,还可以哦 下次会再来的,WAIMAI,1,1.6,2
割喉岛，你敢去吗[衰],割喉岛 你敢去吗 衰,WEIBO,0,4.4,4
"我只能说这么冷的天,送的很快，店里人直接送的,太温暖了,很好吃,老板人不错",我只能说这么冷的天 送的很快 店里人直接送的 太温暖了 很好吃 老板人不错,WAIMAI,1,2.1,2
十一时的巧克力榛子酱蛋糕太好吃了，生日宴完美[爱你]祝舅妈越来越美丽健康[威武][威武]@老藤绿萝,十一时的巧克力榛子酱蛋糕太好吃了 生日宴完美 爱你 祝舅妈越来越美丽健康 威武 威武,WEIBO,1,5.0,5
态度非常好，送晚了主动送了两瓶王老吉,态度非常好 送晚了主动送了两瓶王老吉,WAIMAI,0,4.2,4
晚上从外婆家出来，爸爸临时提议去游泳，我说我没带游泳衣，儿子说：＂那就别穿了，我不介意的，爸，你说呢？＂爸爸说：＂只要你妈不介意，我没意见。＂好吧，你们俩别拦着我，[鄙视]让我用行动喜迎2013[嘻嘻][嘻嘻],晚上从外婆家出来 爸爸临时提议去游泳 我说我没带游泳衣 儿子说 那就别穿了 我不介意的 爸 你说呢 爸爸说 只要你妈不介意 我没意见 好吧 你们俩别拦着我 鄙视 让我用行动喜迎2013 嘻嘻 嘻嘻,WEIBO,1,1.2,1
送餐小哥够速度！满意,送餐小哥够速度 满意,WAIMAI,1,2.8,3
[晕][围观],晕 围观,WEIBO,0,1.8,2
//@桂少爷的超级辣妈://@iAcro-Bruce陈奕霖://@Sneaker大龙: //@穿波鞋的七小福: //@让子尘飞一会儿: //@天蝎座的妞: //@Autoheadhunter: //@nicole快乐活着://@Jennifer胡: //@佳芮的奇奇://@呶呶_狮子座://@贝壳20102010: 含泪必转 //@熏干--干嘛: [泪][悲伤],含泪必转 泪 悲伤,WEIBO,0,4.4,5
还是离婚前规则 白富美亚彤和小艺术家浩子也离了，回到家揭开画架上的纸，是亚彤的画像[泪],还是离婚前规则 白富美亚彤和小艺术家浩子也离了 回到家揭开画架上的纸 是亚彤的画像 泪,WEIBO,0,5.0,5
你出发啦，好像我也出湿诊[失望],你出发啦 好像我也出湿诊 失望,WEIBO,0,0.3,0
真算不上四星级酒店！不过在什邡没有什么象样的酒店了，没得选择！郁闷！,真算不上四星级酒店 不过在什邡没有什么象样的酒店了 没得选择 郁闷,ChnSentiCorp,0,0.2,0
"携带方便,俺不爱好打大型游戏,临时办公上网看电影够用了,外出时带上,回家后外接23.6寸显示器光驱,上网看电影DVD用起来超爽,便宜实惠,总费用才三千二百多,比起三千多的本本就是好.",携带方便 俺不爱好打大型游戏 临时办公上网看电影够用了 外出时带上 回家后外接23 6寸显示器光驱 上网看电影DVD用起来超爽 便宜实惠 总费用才三千二百多 比起三千多的本本就是好,ChnSentiCorp,1,5.0,5
没想到已经凉了，比必胜宅送，差远了。起码那个是热的！,没想到已经凉了 比必胜宅送 差远了 起码那个是热的,WAIMAI,0,1.5,1
为什么北京市民享受不到这种优惠[抓狂],为什么北京市民享受不到这种优惠 抓狂,WEIBO,0,1.5,1
很不喜欢这种小女人过着自以为小资的生活，每次都联想到夜上海的情景，不是很让人舒服，只有颓废的感觉。,很不喜欢这种小女人过着自以为小资的生活 每次都联想到夜上海的情景 不是很让人舒服 只有颓废的感觉,ChnSentiCorp,0,0.3,0
嗯，送货师傅依然很负责任呢！,嗯 送货师傅依然很负责任呢,WAIMAI,1,2.7,3
等了2个小时才送来，多次催单，想取消订单餐厅电话一直占线。,等了2个小时才送来 多次催单 想取消订单餐厅电话一直占线,WAIMAI,0,3.1,3
优点：1 房间大，也很干净。 2 地点不错，去那里都很方便。 3 服务态度好。 缺点：还没有发现。,优点 1 房间大 也很干净 2 地点不错 去那里都很方便 3 服务态度好 缺点 还没有发现,ChnSentiCorp,1,5.0,5
"很一般，说它难吧，有些单词又很简单，什么HAND,ANGRY.说它简单吧，很多单词又很难，什么殡仪馆美容师，耳鼻喉科医生之类的，反正不懂的现在也没记住，懂的还是懂的。总体说来，没什么意思",很一般 说它难吧 有些单词又很简单 什么HAND ANGRY 说它简单吧 很多单词又很难 什么殡仪馆美容师 耳鼻喉科医生之类的 反正不懂的现在也没记住 懂的还是懂的 总体说来 没什么意思,ChnSentiCorp,0,5.0,1
就是一些浅显的道理，不过女人多了解一点也没坏处。看一下前言后记就可以了。,就是一些浅显的道理 不过女人多了解一点也没坏处 看一下前言后记就可以了,ChnSentiCorp,0,0.1,0
对于数学，我的态度一向是不温不火，既不太喜欢，又并不讨厌。至于真正的由数学而生发的思索，却是从来未被自己关注的事情，说来也并不奇怪吧，因为我并未从数学学习中获得过真正令自己感动的趣味与满足。读了《怎样解题》，在作者从容，清晰，充满智慧的论述中，我想了很多，也做了很多笔记，感觉收获不小啊，我才敢说至此，我对于数学才是刚有一点直指本真的认识了：数学是思维之舞，精准，优雅，纯粹。,对于数学 我的态度一向是不温不火 既不太喜欢 又并不讨厌 至于真正的由数学而生发的思索 却是从来未被自己关注的事情 说来也并不奇怪吧 因为我并未从数学学习中获得过真正令自己感动的趣味与满足 读了 怎样解题 在作者从容 清晰 充满智慧的论述中 我想了很多 也做了很多笔记 感觉收获不小啊 我才敢说至此 我对于数学才是刚有一点直指本真的认识了 数学是思维之舞 精准 优雅 纯粹,ChnSentiCorp,1,3.6,4
[哈哈]我也要去偷wifi//@爱蒙古长调: 请他喝茶!进去!喝茶![衰],哈哈 我也要去偷wifi 请他喝茶 进去 喝茶 衰,WEIBO,1,0.3,0
送餐比蜗牛还慢！晚了2个小时一辈子都不会在光顾,送餐比蜗牛还慢 晚了2个小时一辈子都不会在光顾,WAIMAI,0,0.3,0
包装不好，导致粥都撒了。因为送餐员放下就走，打开看才知道不能吃了，因为忙也没有让重新送，就这样吧,包装不好 导致粥都撒了 因为送餐员放下就走 打开看才知道不能吃了 因为忙也没有让重新送 就这样吧,WAIMAI,0,4.3,4
昨天买了这个本本，收到后一看开始搞活动送内存，送硬盘了....订单完成了也没有办法了...感觉有点不厚道啊,昨天买了这个本本 收到后一看开始搞活动送内存 送硬盘了 订单完成了也没有办法了 感觉有点不厚道啊,ChnSentiCorp,1,1.8,2
披萨很好，但是希望电话通知,披萨很好 但是希望电话通知,WAIMAI,0,2.7,3
挺好吃的。非常喜欢。,挺好吃的 非常喜欢,WAIMAI,1,5.0,5
在一个小时后才告知没,在一个小时后才告知没,WAIMAI,0,2.7,3
配碗黄酒吧[得意地笑] @简白 //@泡鱼儿: 襄北豆奶亮了有木有~~//@钟家婧: 这是想馋死我啊~~ //@简白:最喜欢吃牛杂面！！[嘻嘻],配碗黄酒吧 得意地笑 襄北豆奶亮了有木有 这是想馋死我啊,WEIBO,1,1.1,1
"点了两份,送了一份,没退款啊~",点了两份 送了一份 没退款啊,WAIMAI,0,1.4,1
木有办法，喜欢吃的手撕包菜还是在店里好吃一些，放餐盒吾的一般。,木有办法 喜欢吃的手撕包菜还是在店里好吃一些 放餐盒吾的一般,WAIMAI,1,0.7,2
预装Linux是为了节省成本吧，换系统稍麻烦了点。键盘确实有点响应不足的问题，按键要稍用力（不过可能是因为新本子不舍得用力按的原因）。可能是显卡太烂吧，打游戏效果不理想。,预装Linux是为了节省成本吧 换系统稍麻烦了点 键盘确实有点响应不足的问题 按键要稍用力 不过可能是因为新本子不舍得用力按的原因 可能是显卡太烂吧 打游戏效果不理想,ChnSentiCorp,0,0.5,0
"书上的单词均没有音标,是这本书的特大缺陷,不方便读者们拼读,更别说好记了,遗憾,如果退货不用钱我一定退!",书上的单词均没有音标 是这本书的特大缺陷 不方便读者们拼读 更别说好记了 遗憾 如果退货不用钱我一定退,ChnSentiCorp,0,0.0,0
比萨做的不怎么样，但送餐速度和服务还是非常好的。,比萨做的不怎么样 但送餐速度和服务还是非常好的,WAIMAI,0,5.0,5
中午海边品红酒 下午家中读书 Ipad也用上了话筒 她们都说听鹏爷微信的声音如同在夜晚听广播 我该说啥呢？[哈哈],中午海边品红酒 下午家中读书 Ipad也用上了话筒 她们都说听鹏爷微信的声音如同在夜晚听广播 我该说啥呢 哈哈,WEIBO,1,3.2,3
酒店房间太脏了，我刷牙的时候差点没吐了，，他们的水龙头上都是污垢，浴缸里有的地方都生锈了，唉，我睡觉的时候看到他们的被罩没有套紧，里面的东西都露出来了。地毯也不清洁，屋子里有股味道。,酒店房间太脏了 我刷牙的时候差点没吐了 他们的水龙头上都是污垢 浴缸里有的地方都生锈了 唉 我睡觉的时候看到他们的被罩没有套紧 里面的东西都露出来了 地毯也不清洁 屋子里有股味道,ChnSentiCorp,0,1.9,2
哎[泪],哎 泪,WEIBO,0,3.9,5
就是有点慢,就是有点慢,WAIMAI,0,0.4,3
味道很好的，就是今天店家太不小心，菜品送错了，还有面里都没加花生，唉,味道很好的 就是今天店家太不小心 菜品送错了 还有面里都没加花生 唉,WAIMAI,1,1.1,1
"菜品足,非常好",菜品足 非常好,WAIMAI,1,4.1,4
严重找抽型[嘻嘻]//@新闻1043王立鹤: 没事儿找抽型,严重找抽型 嘻嘻 没事儿找抽型,WEIBO,1,3.9,4
"下单,你们弄重了害得我买了2份",下单 你们弄重了害得我买了2份,WAIMAI,1,0.4,0
超时！但是态度挺好。说是第一天上班，勉强给个三星。,超时 但是态度挺好 说是第一天上班 勉强给个三星,WAIMAI,0,2.3,2
淘宝5砖买家。 //@陈中:李晨这斯文哥原来是个老手啊！//@张栋伟:批发石头的那几个淘宝店要火了~~@张馨予 够好骗的~//@曹增辉: 看评论吧。//@围脖老丁: [衰]//@和菜头: 丢手绢，丢手绢，悄悄地把它放在小朋友的后面，大家不要告诉她。,淘宝5砖买家 够好骗的 看评论吧 衰 丢手绢 丢手绢 悄悄地把它放在小朋友的后面 大家不要告诉她,WEIBO,0,0.2,0
俩爷们除了旅游之外的共同爱好就是吃美容蹄[晕],俩爷们除了旅游之外的共同爱好就是吃美容蹄 晕,WEIBO,0,1.0,1
重看妙手仁心3还是好心疼。不敢看下去了。[泪],重看妙手仁心3还是好心疼 不敢看下去了 泪,WEIBO,0,2.0,5
不错呀：D//@新浪厦门: 〖城事〗【微博体#鼓浪屿百字令# 背包族可“按书索屋”http://t.cn/zYv8U0F】[鼓掌],不错呀 D 城事 微博体 背包族可 按书索屋,WEIBO,1,0.9,1
本来我是很喜欢钢琴面得 但是对于电脑来说 就比较容易脏 所以说 鱼和熊掌不可皆得 自己注意就对了,本来我是很喜欢钢琴面得 但是对于电脑来说 就比较容易脏 所以说 鱼和熊掌不可皆得 自己注意就对了,ChnSentiCorp,0,2.4,2
噪音确实很小几乎听不见。光驱很棒，几年前的花碟都能读出来，赞一个。,噪音确实很小几乎听不见 光驱很棒 几年前的花碟都能读出来 赞一个,ChnSentiCorp,1,2.3,2
感谢快乐出发，拍得真好[鼓掌],感谢快乐出发 拍得真好 鼓掌,WEIBO,1,5.0,5
[偷笑] //@泰国阳光小姐：同为瓶子的果断得意转！ //@UniqueMing127:[哈哈][哈哈][哈哈][哈哈] // @水瓶座蜜语 : [织],偷笑 织,WEIBO,1,1.3,0
很破的宾馆和招待所差不多，服务也有问题多找钱还给她连声谢谢都不说气死我拉，早饭跟本不是人吃的，房间送餐送完了就没人来拿餐具了晕倒，点了一个红烧牛肉牛肉上都是淋巴都不敢吃而且要48元一份。只有网速很快能到2M，不过建议不要入住太差拉。,很破的宾馆和招待所差不多 服务也有问题多找钱还给她连声谢谢都不说气死我拉 早饭跟本不是人吃的 房间送餐送完了就没人来拿餐具了晕倒 点了一个红烧牛肉牛肉上都是淋巴都不敢吃而且要48元一份 只有网速很快能到2M 不过建议不要入住太差拉,ChnSentiCorp,0,1.3,1
"创意斗牛,非得把牛逼疯不可!!![抓狂]",创意斗牛 非得把牛逼疯不可 抓狂,WEIBO,0,0.5,2
这才真是人模狗样！ //@AMIGO:[哈哈][哈哈][哈哈][哈哈][哈哈]  //@妹莉十足:特冻......[哈哈][哈哈][哈哈]造型拉风，眼神儿犀利~！笑死......   //@Bojan:[晕]@妹莉十足,这才真是人模狗样,WEIBO,0,0.7,3
1）商品还没收到，价格就已经降了70元。 2）似乎打开windows媒体播放器的时间有点长,1 商品还没收到 价格就已经降了70元 2 似乎打开windows媒体播放器的时间有点长,ChnSentiCorp,0,2.3,2
"这书我是被迫买的,没法子啊.我家老师命令的.东西是满有用的.内容枯燥是任何练习曲的书都无可避免的,台上一分钟,台下十年功啊.整本书都是各种指法练习.条条都是该练的.会对提高基本功有很大帮助.书是按指法分类的.每种都有若干条,大家可以慢慢练.没有好的基本功,只想追求速度,到真正高难度的曲子就会力不从心的.PS:书每条练习曲都是简铺和五线谱对照的.对各个程度都是满方便的.",这书我是被迫买的 没法子啊 我家老师命令的 东西是满有用的 内容枯燥是任何练习曲的书都无可避免的 台上一分钟 台下十年功啊 整本书都是各种指法练习 条条都是该练的 会对提高基本功有很大帮助 书是按指法分类的 每种都有若干条 大家可以慢慢练 没有好的基本功 只想追求速度 到真正高难度的曲子就会力不从心的 PS 书每条练习曲都是简铺和五线谱对照的 对各个程度都是满方便的,ChnSentiCorp,1,1.3,1
你是一朵奇葩[哈哈]不过美好的爱情都是从误打误撞开始的，你终于有着落了[酷],你是一朵奇葩 哈哈 不过美好的爱情都是从误打误撞开始的 你终于有着落了 酷,WEIBO,1,5.0,5
"时间长,味道一般",时间长 味道一般,WAIMAI,0,0.3,0
这位女同志需要承受多少“压力”啊！//@侯宁: 回复@向日葵的果田:[怒] //@向日葵的果田:35元？奇迹,这位女同志需要承受多少 压力 啊 回复,WEIBO,0,1.1,3
"非常好,辛苦送餐员",非常好 辛苦送餐员,WAIMAI,1,2.8,3
"没什么特别的内容,跟其它同类书一样,而且都是些常识类的,我半个小时就看完了,可见期内容很空洞",没什么特别的内容 跟其它同类书一样 而且都是些常识类的 我半个小时就看完了 可见期内容很空洞,ChnSentiCorp,0,1.3,1
服务一般，房价相对太高，房间不满意，有味还比较脏....... 最要命的是服务员没有经过训练，一点没有服务意识，态度恶劣！！！！！！！！,服务一般 房价相对太高 房间不满意 有味还比较脏 最要命的是服务员没有经过训练 一点没有服务意识 态度恶劣,ChnSentiCorp,0,1.1,1
"百度骑士很敬业,给100个赞",百度骑士很敬业 给100个赞,WAIMAI,1,3.2,3
鸟巢明明点的是热的，送来还是凉的！,鸟巢明明点的是热的 送来还是凉的,WAIMAI,0,4.1,4
文胜大哥下次来北京有时间一定通知偶，向你取取经[嘻嘻] //@蔡文胜:仔细理解这些话对创业者还是投资人都会有启发！ //@冯晓海: 放在一起看，个性一下子就出来了。投资人个个都个性鲜明，当你的项目很抢手时，一定要找一个合适自己的天使,文胜大哥下次来北京有时间一定通知偶 向你取取经 嘻嘻 放在一起看 个性一下子就出来了 投资人个个都个性鲜明 当你的项目很抢手时 一定要找一个合适自己的天使,WEIBO,1,5.0,5
[怒]真他妈无良，拒 //@小玉KT:[哼] //@水如烟的微博:点给大家看 //@红羽sz:回复@黄闪电:这个百度的工程师怎么这个水平？,怒 真他妈无良 拒,WEIBO,0,5.0,5
[嘻嘻][嘻嘻][嘻嘻]这个周一太让人兴奋了！,嘻嘻 嘻嘻 嘻嘻 这个周一太让人兴奋了,WEIBO,1,0.1,0
@小胡胡译之 你看嘛，好看不下去嘛...而且还可以买Clearance的，折上折更便宜啊！该死的Holister国内不能登陆美国地区网站，这边登陆上去全显示的HK Dollar，售价完全不一样！[泪],你看嘛 好看不下去嘛 而且还可以买Clearance的 折上折更便宜啊 该死的Holister国内不能登陆美国地区网站 这边登陆上去全显示的HK Dollar 售价完全不一样 泪,WEIBO,0,1.3,1
//@上海普陀: 明天晴到多云，4-13度，重度污染[抓狂],明天晴到多云 4 13度 重度污染 抓狂,WEIBO,0,0.1,0
服务很好，昨天吃的，今天补单的。,服务很好 昨天吃的 今天补单的,WAIMAI,1,3.3,3
介个可以看[鼓掌]   //@涵予S:我爱的,介个可以看 鼓掌,WEIBO,1,1.6,2
吃了两次了，卷饼可满意，其他的一般,吃了两次了 卷饼可满意 其他的一般,WAIMAI,1,3.9,4
回复@北京王蕊:[委屈]我赶过去都走了，呜 //@北京王蕊:那你来啊[哈哈] //@柳朝阳2012:我也想看活的，呵呵 //@北京王蕊: 好激动啊[哈哈]活的哇[鼓掌],回复 好激动啊 哈哈 活的哇 鼓掌,WEIBO,1,5.0,5
奥威尔给我们展示了，极权主义的现象。哈耶克，让我们明白了，极权主义为什么必然导致这些现象。本来对很多极权国家的制度相似性没有太多考虑，更多的归结于民主的观念没有深化，人性上的贪婪，以及一些偶然的因素。这本书直接的论述了整个思想必定导致极权的过程。看完后，狂呼一句，“天啊，原来这就是个局。”另，翻译的确实不好。很多句子需要一个字一个字的读。但是耐心读完的收获绝对是巨大的。,奥威尔给我们展示了 极权主义的现象 哈耶克 让我们明白了 极权主义为什么必然导致这些现象 本来对很多极权国家的制度相似性没有太多考虑 更多的归结于民主的观念没有深化 人性上的贪婪 以及一些偶然的因素 这本书直接的论述了整个思想必定导致极权的过程 看完后 狂呼一句 天啊 原来这就是个局 另 翻译的确实不好 很多句子需要一个字一个字的读 但是耐心读完的收获绝对是巨大的,ChnSentiCorp,1,5.0,5
肘子卷肥肉好多......,肘子卷肥肉好多,WAIMAI,0,1.3,1
很好，很满意，但是这次为什么没有送王老吉呢？昨天还送的,很好 很满意 但是这次为什么没有送王老吉呢 昨天还送的,WAIMAI,1,1.0,1
蓝牙，WIFI，摄像头，SD读卡器，还有E卡插口扩展。1G内存，250G硬盘。1024*600的标准10?屏分辨率。真是全了。,蓝牙 WIFI 摄像头 SD读卡器 还有E卡插口扩展 1G内存 250G硬盘 1024 600的标准10 屏分辨率 真是全了,ChnSentiCorp,1,0.7,1
